URL_ID,URL,Positive Score,Negative Score,Polarity Score,Subjectivity Score,Avg Sentence Length,Percentage of complex words,Fog Index,Average Number of Words per Sentence,Complex word count,Word Count,Syllable per word,Avg Word Length
75,Why does your business need a chatbot?,28,8,0.5555555401,0.09090909068,396,58.58585859,181.8343434,396,232,396,1.898989899,7.045454545
53,How AI will impact the future of work?,79,40,0.3277310897,0.1549479165,768,58.07291667,330.4291667,768,446,768,1.916666667,7.213541667
68,Embedding care robots into society and practice: Socio-technical considerations,10,3,0.538461497,0.07182320402,181,56.90607735,95.16243094,181,103,181,1.801104972,6.690607735
25060,Will we ever colonize outer space?,47,24,0.3239436574,0.09161290311,775,55.87096774,332.3483871,775,433,775,1.873548387,6.91483871
19980,How Google fit measure heart and respiratory rates using a phone camera?,10,1,0.8181817438,0.03859649109,285,47.71929825,133.0877193,285,136,285,1.757894737,6.701754386
28754,Global financial crisis 2008 causes/effects and its solution,24,32,-0.1428571403,0.1031307549,543,48.61878453,236.6475138,543,264,543,1.620626151,6.61694291
128,Controversy as a Marketing Strategy,12,17,-0.1724137872,0.1277533034,227,53.74449339,112.2977974,227,122,227,1.850220264,7.061674009
40299,Contribution of handicrafts (Visual Arts & Literature) in the Indian economy,5,1,0.6666665556,0.03296703279,182,52.1978022,93.67912088,182,95,182,1.791208791,6.840659341
109,Lessons from the past: Some key learnings relevant to the coronavirus crisis,30,25,0.09090908926,0.1687116559,326,49.38650307,150.1546012,326,161,326,1.650306748,6.457055215
147,The future of Investing,35,10,0.5555555432,0.07462686555,603,60.0331675,265.213267,603,362,603,1.971807629,7.333333333
52,How machine learning used in finance and banking?,29,1,0.9333333022,0.08498583545,353,64.02266289,166.8090652,353,226,353,2.056657224,7.490084986
4279,How advertisement increase your market value?,12,1,0.8461537811,0.04318936863,301,59.46843854,144.1873754,301,179,301,1.887043189,7.176079734
2345,Rise of e-health and its impact on humans by the year 2030,23,28,-0.09803921376,0.08600337254,593,65.2613828,263.3045531,593,387,593,1.940978078,7.468802698
19056,"What is the difference between Artificial Intelligence, Machine Learning, Statistics, and Data Mining?",60,38,0.2244897936,0.1182147164,829,60.5548854,355.8219542,829,502,829,1.993968637,7.270205066
104,Due to the COVID-19 the repercussion of the environment,30,55,-0.2941176436,0.1353503183,628,67.8343949,278.333758,628,426,628,2.031847134,7.331210191
8435,AI in healthcare to Improve Patient Outcomes,68,33,0.34653465,0.0961904761,1050,68.28571429,447.3142857,1050,717,1050,2.071428571,7.631428571
3817,How does marketing influence businesses and consumers?,60,7,0.7910447643,0.07536557922,889,66.70416198,382.2816648,889,593,889,2.047244094,7.571428571
41223,How will COVID-19 affect the world of work?,33,56,-0.2584269634,0.1721470016,517,59.96131528,230.7845261,517,310,517,1.907156673,7.268858801
13977,How Robo Human will Impact the Future?,34,30,0.06249999902,0.09876543195,648,59.25925926,282.9037037,648,384,648,1.895061728,7.091049383
105,Impact of COVID-19 pandemic on office space and co-working industries.,26,36,-0.16129032,0.1257606488,493,54.76673428,219.1066937,493,270,493,1.778904665,6.84989858
143,Impact of newly discovered coronavirus on the Global Economy,10,25,-0.4285714163,0.09234828472,379,54.35356201,173.3414248,379,206,379,1.746701847,6.997361478
41,Will AI Replace Us or Work With Us?,60,25,0.411764701,0.1035322776,821,62.24116931,353.2964677,821,511,821,1.96589525,7.31181486
94,How to increase social media engagement for marketers?,53,16,0.5362318763,0.08624999989,800,61.25,344.5,800,490,800,1.9375,7.175
48612,Impact of COVID-19 (Coronavirus) on the Indian Economy,25,42,-0.2537313395,0.1318897635,508,59.2519685,226.9007874,508,301,508,1.875984252,7.003937008
50921,Coronavirus: Impact on the Hospitality Industry,10,8,0.1111111049,0.05863192163,307,53.09446254,144.037785,307,163,307,1.846905537,7.087947883
54,All you need to know about online marketing,22,1,0.9130434386,0.0513392856,448,61.16071429,203.6642857,448,274,448,1.935267857,7.113839286
43532,Coronavirus: Effect on the Hospitality Industry,20,22,-0.04761904649,0.09633027501,436,61.46788991,198.987156,436,268,436,1.95412844,7.116972477
51844,What are the key policies that will mitigate the impacts of COVID-19 on the world of work?,85,32,0.4529914491,0.1255364806,932,60.94420601,397.1776824,932,568,932,1.925965665,7.28111588
40,Will Machine Replace The Human in the Future of Work?,63,28,0.3846153804,0.1307471262,696,62.5,303.4,696,435,696,1.952586207,7.170977011
31063,Impacts of COVID 19 on Vegetable Vendors,29,19,0.208333329,0.1069042314,449,59.91091314,203.5643653,449,269,449,1.917594655,7.167037862
37990,Travel and Tourism Outlook,8,4,0.3333333056,0.07100591674,169,52.66272189,88.66508876,169,89,169,1.792899408,6.686390533
70,Are we any closer to preventing a nuclear holocaust?,6,8,-0.1428571327,0.08536585314,164,50.6097561,85.84390244,164,83,164,1.774390244,6.731707317
46303,Coronavirus: Impact on the Hospitality Industry,14,15,-0.03448275743,0.109022556,266,64.28571429,132.1142857,266,171,266,1.981203008,7.323308271
38,What if the Creation is Taking Over the Creator?,63,38,0.24752475,0.1556240367,649,54.08320493,281.233282,649,351,649,1.882896764,7.129429892
42146,COVID-19: How have countries been responding?,11,39,-0.5599999888,0.0929368028,538,53.90334572,236.7613383,538,290,538,1.762081784,7.066914498
52768,Continued Demand for Sustainability,30,20,0.199999996,0.1111111109,450,63.33333333,205.3333333,450,285,450,2.013333333,7.566666667
136,Why is there a severe immunological and inflammatory explosion in those affected by sarms covid-19?,5,15,-0.499999975,0.07936507905,252,61.50793651,125.4031746,252,155,252,2.027777778,7.154761905
119,Coronavirus: Impact on the Hospitality Industry,14,15,-0.03448275743,0.109022556,266,64.28571429,132.1142857,266,171,266,1.981203008,7.323308271
38914,What is the repercussion of the environment due to the COVID-19 pandemic situation?,11,25,-0.3888888781,0.09448818873,381,54.85564304,174.3422572,381,209,381,1.790026247,6.94488189
33372,Human Rights Outlook,8,2,0.59999994,0.06329113884,158,52.53164557,84.21265823,158,83,158,1.803797468,6.715189873
5664,"Rising IT cities will impact the economy, environment, infrastructure, and city life by the year 2035",30,15,0.3333333259,0.07142857132,630,60.47619048,276.1904762,630,381,630,2.004761905,7.246031746
130,Coronavirus impact on energy markets,26,63,-0.4157303324,0.1018306635,874,60.64073227,373.8562929,874,530,874,1.80778032,6.901601831
32449,Changing landscape and emerging trends in the Indian IT/ITeS Industry.,37,43,-0.07499999906,0.09768009756,819,60.1953602,351.6781441,819,493,819,1.881562882,7.224664225
134,Coronavirus Disease (COVID-19) Effect: The Impact and Role of Mass Media During the Pandemic,12,11,0.04347825898,0.08394160553,274,58.75912409,133.1036496,274,161,274,1.948905109,7.072992701
24136,Will technology eliminate the need for animal testing in drug development?,12,26,-0.3684210429,0.1603375521,237,58.2278481,118.0911392,237,138,237,1.953586498,6.902953586
41685,Lessons from the past: Some key learnings relevant to the coronavirus crisis,30,25,0.09090908926,0.1687116559,326,49.38650307,150.1546012,326,161,326,1.650306748,6.457055215
117,Lessons from the past: Some key learnings relevant to the coronavirus crisis,39,65,-0.2499999976,0.1189931349,874,58.00915332,372.8036613,874,507,874,1.860411899,7.311212815
51382,Coronavirus impact on energy markets,26,63,-0.4157303324,0.1018306635,874,60.64073227,373.8562929,874,530,874,1.80778032,6.901601831
4741,Negative effects of marketing on society,25,47,-0.3055555513,0.117839607,611,66.44844517,270.9793781,611,406,611,2.05400982,7.536824877
48,"How Machines, AI, Automations, and Robo-human are Effective in Finance and Banking?",36,23,0.2203389793,0.08819133021,669,68.60986547,295.0439462,669,459,669,2.100149477,7.603886398
63,What is the future of mobile apps?,25,9,0.4705882215,0.07407407391,459,54.90196078,205.5607843,459,252,459,1.775599129,6.662309368
50,How AI will change the World?,58,25,0.3975903567,0.1160839159,715,61.81818182,310.7272727,715,442,715,1.991608392,7.391608392
36143,COVID-19 Impact on Hospitality Industry,18,42,-0.3999999933,0.1158301156,518,61.003861,231.6015444,518,316,518,1.901544402,7.198841699
110,COVID-19: How have countries been responding?,11,39,-0.5599999888,0.0929368028,538,53.90334572,236.7613383,538,290,538,1.762081784,7.066914498
45379,Lessons from the past: Some key learnings relevant to the coronavirus crisis,39,65,-0.2499999976,0.1189931349,874,58.00915332,372.8036613,874,507,874,1.860411899,7.311212815
123,Rise of telemedicine and its Impact on Livelihood by 2040,85,24,0.5596330224,0.1178378377,925,68.86486486,397.5459459,925,637,925,1.989189189,7.762162162
14438,How AI will change the World?,58,25,0.3975903567,0.1160839159,715,61.81818182,310.7272727,715,442,715,1.991608392,7.391608392
146,Blockchain for Payments,26,26,0,0.1015624998,512,62.890625,229.95625,512,322,512,1.947265625,7.537109375
34758,How to increase social media engagement for marketers?,53,16,0.5362318763,0.08624999989,800,61.25,344.5,800,490,800,1.9375,7.175
114,Estimating the impact of COVID-19 on the world of work,48,49,-0.01030927824,0.1279683376,758,57.65171504,326.260686,758,437,758,1.874670185,6.908970976
15824,How AI will impact the future of work?,79,40,0.3277310897,0.1549479165,768,58.07291667,330.4291667,768,446,768,1.916666667,7.213541667
18133,Environmental impact of the COVID-19 pandemic – Lesson for the Future,28,70,-0.4285714242,0.1349862257,726,56.88705234,313.1548209,726,413,726,1.840220386,7.110192837
19518,How Python became the first choice for Data Science.,45,4,0.8367346768,0.1200980389,408,61.51960784,187.8078431,408,251,408,1.946078431,7.210784314
72,Will we ever understand the nature of consciousness?,30,50,-0.2499999969,0.08948545851,894,63.87024609,383.1480984,894,571,894,2.048098434,7.647651007
47226,IMPACT OF COVID-19 ON THE GLOBAL ECONOMY,36,65,-0.28712871,0.1600633912,631,52.29793978,273.3191759,631,330,631,1.692551506,6.640253566
118,Lessons from the past: Some key learnings relevant to the coronavirus crisis,33,54,-0.2413793076,0.152899824,569,50.96660808,247.9866432,569,290,569,1.702987698,6.51142355
115,COVID-19: How have countries been responding?,26,39,-0.1999999969,0.08485639676,766,60.05221932,330.4208877,766,460,766,1.933420366,7.174934726
39376,Due to the COVID-19 the repercussion of the environment,30,55,-0.2941176436,0.1353503183,628,67.8343949,278.333758,628,426,628,2.031847134,7.331210191
43994,Estimating the impact of COVID-19 on the world of work,48,49,-0.01030927824,0.1279683376,758,57.65171504,326.260686,758,437,758,1.874670185,6.908970976
133,Continued Demand for Sustainability,30,20,0.199999996,0.1111111109,450,63.33333333,205.3333333,450,285,450,2.013333333,7.566666667
150,Challenges and Opportunities of Big Data in Healthcare,36,38,-0.02702702666,0.1264957263,585,56.58119658,256.6324786,585,331,585,1.899145299,7.124786325
141,Impact of COVID-19 (Coronavirus) on the Indian Economy,10,21,-0.3548386982,0.1135531131,273,57.87545788,132.3501832,273,158,273,1.835164835,6.879120879
89,Changing landscape and emerging trends in the Indian IT/ITeS Industry.,37,43,-0.07499999906,0.09768009756,819,60.1953602,351.6781441,819,493,819,1.881562882,7.224664225
40761,How COVID-19 is impacting payment preferences?,16,4,0.59999997,0.06097560957,328,59.45121951,154.9804878,328,195,328,1.807926829,6.679878049
37,AI in healthcare to Improve Patient Outcomes,68,33,0.34653465,0.0961904761,1050,68.28571429,447.3142857,1050,717,1050,2.071428571,7.631428571
82,Gender diversity and Equality in the tech industry,26,22,0.0833333316,0.08080808067,594,62.12121212,262.4484848,594,369,594,1.988215488,7.409090909
85,Impacts of COVID 19 on Food products,13,7,0.299999985,0.08620689618,232,54.74137931,114.6965517,232,127,232,1.862068966,6.905172414
113,Coronavirus: Effect on the Hospitality Industry,20,22,-0.04761904649,0.09633027501,436,61.46788991,198.987156,436,268,436,1.95412844,7.116972477
121,IMPACT OF COVID-19 ON THE GLOBAL ECONOMY,36,65,-0.28712871,0.1600633912,631,52.29793978,273.3191759,631,330,631,1.692551506,6.640253566
98,Lessons from the past: Some key learnings relevant to the coronavirus crisis,38,48,-0.1162790684,0.1450252949,593,56.3237774,259.729511,593,334,593,1.829679595,7.008431703
44,,5,1,0.6666665556,0.05217391259,115,52.17391304,66.86956522,115,60,115,1.834782609,6.608695652
12591,Deep learning impact on areas of e-learning?,68,34,0.3333333301,0.1023069207,997,65.29588766,424.9183551,997,651,997,2.006018054,7.25777332
37528,Estimating the impact of COVID-19 on the world of work,24,42,-0.2727272686,0.1013824883,651,54.68509985,282.2740399,651,356,651,1.898617512,7.159754224
29678,How to overcome your fear of making mistakes?,26,74,-0.4799999952,0.2024291494,494,55.87044534,219.9481781,494,276,494,1.829959514,7.010121457
50459,Controversy as a Marketing Strategy,12,17,-0.1724137872,0.1277533034,227,53.74449339,112.2977974,227,122,227,1.850220264,7.061674009
10282,Will AI Replace Us or Work With Us?,60,25,0.411764701,0.1035322776,821,62.24116931,353.2964677,821,511,821,1.96589525,7.31181486
22289,Can robots tackle late-life loneliness?,25,37,-0.193548384,0.1472684082,421,56.29453682,190.9178147,421,237,421,1.7695962,6.802850356
15362,How machine learning used in finance and banking?,29,1,0.9333333022,0.08498583545,353,64.02266289,166.8090652,353,226,353,2.056657224,7.490084986
91,Human Rights Outlook,8,2,0.59999994,0.06329113884,158,52.53164557,84.21265823,158,83,158,1.803797468,6.715189873
52306,Marketing Drives Results With A Focus On Problems,27,22,0.1020408142,0.07184750723,682,58.50439883,296.2017595,682,399,682,1.973607038,7.463343109
36605,Lessons from the past: Some key learnings relevant to the coronavirus crisis,38,48,-0.1162790684,0.1450252949,593,56.3237774,259.729511,593,334,593,1.829679595,7.008431703
46,Deep learning impact on areas of e-learning?,68,34,0.3333333301,0.1023069207,997,65.29588766,424.9183551,997,651,997,2.006018054,7.25777332
65,What patients like and dislike about telemedicine?,19,9,0.3571428444,0.1111111107,252,59.92063492,124.768254,252,151,252,1.908730159,7.357142857
96,Coronavirus impact on energy markets,20,42,-0.354838704,0.07142857135,868,68.77880184,374.7115207,868,597,868,2.043778802,7.399769585
13515,"How Machines, AI, Automations, and Robo-human are Effective in Finance and Banking?",36,23,0.2203389793,0.08819133021,669,68.60986547,295.0439462,669,459,669,2.100149477,7.603886398
137,What do you think is the lesson (or lessons) to be learned with Covid 19?,9,7,0.1249999922,0.08040200965,199,55.77889447,101.9115578,199,111,199,1.949748744,6.889447236
138,"Coronavirus, the unexpected challenge for the European union",10,10,0,0.09478672941,211,55.92417062,106.7696682,211,118,211,1.872037915,7.052132701
76,How you lead a project or a team without any technical expertise?,42,9,0.6470588108,0.08793103433,580,60.86206897,256.3448276,580,353,580,1.894827586,7.053448276
38452,Gaming Disorder and Effects of Gaming on Health.,29,43,-0.1944444417,0.1276595742,564,52.83687943,246.7347518,564,298,564,1.753546099,6.976950355
71,Will technology eliminate the need for animal testing in drug development?,12,26,-0.3684210429,0.1603375521,237,58.2278481,118.0911392,237,138,237,1.953586498,6.902953586
35681,Coronavirus impact on energy markets,20,42,-0.354838704,0.07142857135,868,68.77880184,374.7115207,868,597,868,2.043778802,7.399769585
27831,How to Overcome Your Fear of Making Mistakes,27,70,-0.4432989645,0.2016632012,481,55.3014553,214.5205821,481,266,481,1.819126819,6.995841996
24598,Will we ever understand the nature of consciousness?,30,50,-0.2499999969,0.08948545851,894,63.87024609,383.1480984,894,571,894,2.048098434,7.647651007
106,Contribution of handicrafts (Visual Arts & Literature) in the Indian economy,5,1,0.6666665556,0.03296703279,182,52.1978022,93.67912088,182,95,182,1.791208791,6.840659341
100,Estimating the impact of COVID-19 on the world of work,24,42,-0.2727272686,0.1013824883,651,54.68509985,282.2740399,651,356,651,1.898617512,7.159754224
14900,Future of Work: How AI Has Entered the Workplace,63,21,0.499999994,0.1105263156,760,61.31578947,328.5263158,760,466,760,1.972368421,7.348684211
35219,Impacts of COVID 19 on Streets Sides Food Stalls,34,33,0.01492537291,0.1200716844,558,56.98924731,245.9956989,558,318,558,1.85125448,7.03046595
127,How will COVID-19 affect the world of work?,36,83,-0.3949579799,0.1714697404,694,61.52737752,302.210951,694,427,694,1.914985591,7.10518732
64,Impact of AI in health and medicine,17,9,0.3076922959,0.07647058801,340,61.47058824,160.5882353,340,209,340,1.976470588,7.147058824
9820,Will Machine Replace The Human in the Future of Work?,63,28,0.3846153804,0.1307471262,696,62.5,303.4,696,435,696,1.952586207,7.170977011
11206,How humans and machines are evolving to work together?,26,12,0.3684210429,0.08899297403,427,59.95316159,194.7812646,427,256,427,1.906323185,7.105386417
66,How we forecast future technologies?,9,1,0.79999992,0.05405405376,185,59.45945946,97.78378378,185,110,185,2,7.145945946
111,How Coronavirus Impact on the Hospitality Industry,19,34,-0.2830188626,0.09481216441,559,59.03398927,247.2135957,559,330,559,1.867620751,7.334525939
73,Will we ever colonize outer space?,47,24,0.3239436574,0.09161290311,775,55.87096774,332.3483871,775,433,775,1.873548387,6.91483871
102,Gaming Disorder and Effects of Gaming on Health.,29,43,-0.1944444417,0.1276595742,564,52.83687943,246.7347518,564,298,564,1.753546099,6.976950355
58,Environmental impact of the COVID-19 pandemic – Lesson for the Future,28,70,-0.4285714242,0.1349862257,726,56.88705234,313.1548209,726,413,726,1.840220386,7.110192837
29216,Gender diversity and Equality in the tech industry,26,22,0.0833333316,0.08080808067,594,62.12121212,262.4484848,594,369,594,1.988215488,7.409090909
140,COVID-19 Vs Indian Economy,16,51,-0.5223880519,0.1359026366,493,58.62068966,220.6482759,493,289,493,1.84989858,7.004056795
135,Should people wear fabric gloves? Seeking evidence regarding the differential transfer of COVID-19 (or coronaviruses generally) between surfaces?,10,8,0.1111111049,0.08071748843,223,51.56950673,109.8278027,223,115,223,1.677130045,6.569506726
84,How Small Business can survive the Coronavirus Crisis,24,11,0.3714285608,0.0958904107,365,58.90410959,169.5616438,365,215,365,1.876712329,6.975342466
83,How to overcome your fear of making mistakes?,26,74,-0.4799999952,0.2024291494,494,55.87044534,219.9481781,494,276,494,1.829959514,7.010121457
43070,How will COVID-19 affect the world of work?,26,53,-0.3417721476,0.1332209104,593,57.84148398,260.3365936,593,343,593,1.898819562,7.333895447
122,Impact of coronavirus on the Indian economy,32,65,-0.3402061821,0.1221662467,794,59.82367758,341.529471,794,475,794,1.84256927,7.031486146
25522,What is the chance Homo sapiens will survive for the next 500 years?,34,24,0.1724137901,0.08430232546,688,56.68604651,297.8744186,688,390,688,1.864825581,6.994186047
45841,Lessons from the past: Some key learnings relevant to the coronavirus crisis,33,54,-0.2413793076,0.152899824,569,50.96660808,247.9866432,569,290,569,1.702987698,6.51142355
4321,Rise of telemedicine and its Impact on Livelihood by 2040,39,27,0.1818181791,0.09230769218,715,66.01398601,312.4055944,715,472,715,1.965034965,7.492307692
26445,How you lead a project or a team without any technical expertise?,42,9,0.6470588108,0.08793103433,580,60.86206897,256.3448276,580,353,580,1.894827586,7.053448276
32910,"Online gaming: Adolescent online gaming effects demotivated, depression, musculoskeletal, and psychosomatic symptoms.",33,61,-0.2978723373,0.1094295691,859,60.06984866,367.6279395,859,516,859,1.876600698,7.286379511
67,Can robots tackle late-life loneliness?,25,37,-0.193548384,0.1472684082,421,56.29453682,190.9178147,421,237,421,1.7695962,6.802850356
144,,5,1,0.6666665556,0.05217391259,115,52.17391304,66.86956522,115,60,115,1.834782609,6.608695652
49535,How prepared is India to tackle a possible COVID-19 outbreak?,20,25,-0.1111111086,0.09615384595,468,60.8974359,211.5589744,468,285,468,1.888888889,7.05982906
28292,Is Perfection the Greatest enemy of Productivity?,57,23,0.4249999947,0.14953271,535,44.6728972,231.8691589,535,239,535,1.669158879,6.545794393
103,What is the repercussion of the environment due to the COVID-19 pandemic situation?,11,25,-0.3888888781,0.09448818873,381,54.85564304,174.3422572,381,209,381,1.790026247,6.94488189
93,How the COVID-19 crisis is redefining jobs and services?,39,31,0.1142857127,0.09198423115,761,63.33771353,329.7350854,761,482,761,2.02890933,7.413929041
47688,Impact of coronavirus on the Indian economy,32,65,-0.3402061821,0.1221662467,794,59.82367758,341.529471,794,475,794,1.84256927,7.031486146
131,What are the key policies that will mitigate the impacts of COVID-19 on the world of work?,85,32,0.4529914491,0.1255364806,932,60.94420601,397.1776824,932,568,932,1.925965665,7.28111588
12129,How machine learning will affect your business?,37,14,0.4509803833,0.1268656713,402,57.21393035,183.6855721,402,230,402,1.726368159,6.868159204
23674,Are we any closer to preventing a nuclear holocaust?,6,8,-0.1428571327,0.08536585314,164,50.6097561,85.84390244,164,83,164,1.774390244,6.731707317
120,Why scams like Nirav Modi Happen with Indian banks?,49,92,-0.3049645368,0.1235758106,1141,59.42156004,480.168624,1141,678,1141,1.881682734,7.173531989
56,How Data Analytics can help your business respond to the impact of COVID-19?,5,4,0.1111110988,0.04999999972,180,53.88888889,93.55555556,180,97,180,1.838888889,7.022222222
34296,How the COVID-19 crisis is redefining jobs and services?,39,31,0.1142857127,0.09198423115,761,63.33771353,329.7350854,761,482,761,2.02890933,7.413929041
2893,Rise of Chatbots and its impact on customer support by the year 2040,47,12,0.5932203289,0.09470304961,623,66.45264848,275.7810594,623,414,623,2.075441413,7.539325843
124,Impact of COVID-19 (Coronavirus) on the Indian Economy,25,42,-0.2537313395,0.1318897635,508,59.2519685,226.9007874,508,301,508,1.875984252,7.003937008
17209,How Data Analytics can help your business respond to the impact of COVID-19?,5,4,0.1111110988,0.04999999972,180,53.88888889,93.55555556,180,97,180,1.838888889,7.022222222
37067,Estimating the impact of COVID-19 on the world of work,25,28,-0.05660377252,0.09724770624,545,60.36697248,242.146789,545,329,545,1.983486239,7.190825688
108,How will COVID-19 affect the world of work?,33,56,-0.2584269634,0.1721470016,517,59.96131528,230.7845261,517,310,517,1.907156673,7.268858801
47,How to protect future data and its privacy?,47,55,-0.07843137178,0.1062499999,960,61.5625,408.625,960,591,960,1.853125,7.095833333
42,Will machine replace the human in the future of work?,46,24,0.3142857098,0.1129032256,620,59.51612903,271.8064516,620,369,620,1.929032258,7.185483871
17671,,5,1,0.6666665556,0.05217391259,115,52.17391304,66.86956522,115,60,115,1.834782609,6.608695652
142,Impact of Indian Economy due to COVID-19,41,72,-0.2743362808,0.1271091112,889,63.66704162,381.0668166,889,566,889,1.969628796,7.300337458
78,How does artificial intelligence affect the environment,40,17,0.4035087649,0.07270408154,784,64.66836735,339.4673469,784,507,784,2.035714286,7.544642857
39,What Jobs Will Robots Take From Humans in The Future?,69,36,0.3142857113,0.1153846153,910,67.14285714,390.8571429,910,611,910,2.046153846,7.624175824
23213,Management challenges for future digitalization of healthcare services,38,11,0.5510203969,0.1096196866,447,66.44295302,205.3771812,447,297,447,2.058165548,7.536912752
80,Is Perfection the Greatest enemy of Productivity?,57,23,0.4249999947,0.14953271,535,44.6728972,231.8691589,535,239,535,1.669158879,6.545794393
432,Rise of telemedicine and its Impact on Livelihood by 2040,39,27,0.1818181791,0.09230769218,715,66.01398601,312.4055944,715,472,715,1.965034965,7.492307692
49,How Robo Human will Impact the Future?,34,30,0.06249999902,0.09876543195,648,59.25925926,282.9037037,648,384,648,1.895061728,7.091049383
74,What is the chance Homo sapiens will survive for the next 500 years?,34,24,0.1724137901,0.08430232546,688,56.68604651,297.8744186,688,390,688,1.864825581,6.994186047
79,How to Overcome Your Fear of Making Mistakes,27,70,-0.4432989645,0.2016632012,481,55.3014553,214.5205821,481,266,481,1.819126819,6.995841996
5202,How advertisement/marketing affects business.,16,11,0.1851851783,0.09926470552,272,58.82352941,132.3294118,272,160,272,1.944852941,7.161764706
95,Impacts of COVID 19 on Streets Sides Food Stalls,34,33,0.01492537291,0.1200716844,558,56.98924731,245.9956989,558,318,558,1.85125448,7.03046595
44455,COVID-19: How have countries been responding?,26,39,-0.1999999969,0.08485639676,766,60.05221932,330.4208877,766,460,766,1.933420366,7.174934726
31987,Impact of COVID-19 pandemic on sports events around the world.,36,11,0.5319148823,0.0321477428,1462,44.73324213,602.6932969,1462,654,1462,1.633378933,6.901504788
6126,Rise of OTT platform and its impact on entertainment industry by the year 2030,25,4,0.7241379061,0.08215297427,353,65.15580737,167.2623229,353,230,353,2.008498584,7.359773371
101,Travel and Tourism Outlook,8,4,0.3333333056,0.07100591674,169,52.66272189,88.66508876,169,89,169,1.792899408,6.686390533
21827,How we forecast future technologies?,9,1,0.79999992,0.05405405376,185,59.45945946,97.78378378,185,110,185,2,7.145945946
8897,What if the Creation is Taking Over the Creator?,63,38,0.24752475,0.1556240367,649,54.08320493,281.233282,649,351,649,1.882896764,7.129429892
25983,Why does your business need a chatbot?,28,8,0.5555555401,0.09090909068,396,58.58585859,181.8343434,396,232,396,1.898989899,7.045454545
77,Can You Be Great Leader Without Technical Expertise,31,7,0.6315789307,0.1433962259,265,59.62264151,129.8490566,265,158,265,2.045283019,7.041509434
145,Blockchain in Fintech,16,12,0.1428571378,0.0691358023,405,65.18518519,188.0740741,405,264,405,1.943209877,7.511111111
27369,How does artificial intelligence affect the environment,40,17,0.4035087649,0.07270408154,784,64.66836735,339.4673469,784,507,784,2.035714286,7.544642857
18595,How Data Analytics and AI are used to halt the COVID-19 Pandemic?,21,15,0.166666662,0.08888888867,405,59.50617284,185.8024691,405,241,405,1.90617284,7.059259259
